question_id,dataset,census_hops,n_slots,eligible_census,in_v12_frozen,v12_hops,v12_hash_match,exposed,primary_candidate,exclusion_reason
05befb340baf11ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
05c006780baf11ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
05c81d7a0bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
05dac2220bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
05f3da6d088e11ebbd70ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
05f5e11808c211ebbd8bac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
05f8a691087b11ebbd67ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0625a9900bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
062cc2760bb011ebab90acde48001122,2wikimultihop,1,2,False,False,,,False,False,no_frozen_plan_snapshot
064edb0908cd11ebbd93ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
067dd55a0bdb11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
06992de80bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
06af462b08f011ebbda8ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
06bd09480bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
06c1bf16087211ebbd64ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
06c6e94a0bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
06d117e00bb011ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
06d9b7aa0bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
06f3e17d08da11ebbd9cac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0701c97c0bdc11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0704c1220baf11ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
071266c20bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
072f19a00bdb11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
073a6f560bb011ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
074763cc0bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
076288460bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
077b294e0bdb11eba7f7acde48001122,2wikimultihop,1,2,False,False,,,False,False,no_frozen_plan_snapshot
078a752a08c011ebbd8aac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
07b1cc3c0baf11ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
07bd9bbd08bb11ebbd88ac1f6bf848b6,2wikimultihop,1,2,False,False,,,False,False,no_frozen_plan_snapshot
07e44fbc0bb011ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
07e50f880bb011ebab90acde48001122,2wikimultihop,1,2,False,False,,,False,False,no_frozen_plan_snapshot
07f908b20bdd11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0819ed1e086211ebbd5dac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
081c7c960bda11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0821c5fd08f611ebbdaaac1f6bf848b6,2wikimultihop,1,2,False,False,,,False,False,no_frozen_plan_snapshot
08227b740bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0828fdc2086011ebbd5dac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
083ac2cb08db11ebbd9cac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
083c32760bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
083d0aa808a411ebbd7cac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
084810780bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
084c53d20bdd11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
084f3ebf095611ebbdaeac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
